full,lats,lngs
"6097 Highway 43, Satsuma, AL 36572",30.8700275421,-88.0473861694
"2231 7th St S, Clanton, AL 35046",32.8013475984,-86.5774590522
"13101 Flowerwood Rd, Loxley, AL 36551",30.6508717686,-87.7673104405
"801 Highway 78 E, Jasper, AL 35501",33.8476692885,-87.2664856911
"2501 Florence Blvd, Florence, AL 35630",34.8286209106,-87.6367263794
"1205 Martin St N, Pell City, AL 35125",33.6025844514,-86.2826286256
"500 Pelham Rd S, Jacksonville, AL 36265",33.8110819459,-85.7612688839
"10931 Al Highway 168, Boaz, AL 35957",34.1987724602,-86.1519058049
"105 Mcmeans Ave, Bay Minette, AL 36507",30.8787593842,-87.7845001221
"25101 Perdido Beach Blvd, Orange Beach, AL 36561",30.2678184509,-87.5964889526
"80 Al Highway 75 N, Albertville, AL 35951",34.2766647339,-86.2031478882
"1850 Ashville Rd, Leeds, AL 35094",33.5636863858,-86.5223094821
"119 Big Valley Dr, Alexandria, AL 36250",33.7818183899,-85.8980331421
"33681 Us Highway 280, Childersburg, AL 35044",33.2661160827,-86.3516948372
"1925 Mcfarland Blvd, Northport, AL 35476",33.2388801575,-87.5780639648
"21582 State Highway 59 S, Robertsdale, AL 36567",30.54337883,-87.7078399658
"637 Boll Weevil Cir, Enterprise, AL 36330",31.321560815,-85.831092149
"1024 State Highway 59 S, Summerdale, AL 36580",30.470998764,-87.7018508911
"382 E Beach Blvd, Gulf Shores, AL 36542",30.2497406006,-87.6818466187
"2070 W Main St, Centre, AL 35960",34.1617868096,-85.7158952951
"183 Highway 43 S, Tuscumbia, AL 35674",34.7125740051,-87.6668930054
"9190 Grand Bay Wilmer Rd S, Grand Bay, AL 36541",30.4992980957,-88.3355636597
"3401 Schillinger Rd N, Semmes, AL 36575",30.7619915009,-88.2259902954
"123 Valley Street, Arkadelphia, AR  71923",34.1800385714,-93.0708577484
"123 Valley St, Arkadelphia, AR  71923",34.1800385714,-93.0708577484
"3224 Bill Foster Memorial Hwy, Cabot, AR  72023",34.9464254826,-92.0614459366
"1102 W Main St, Cabot, AR  72023",34.9766325206,-92.0270291716
"201 Skyline Dr, Conway, AR  72032",35.1124528795,-92.4295261502
"1816 E Oak St, Conway, AR  72032",35.0911413878,-92.4026282877
"816 E Oak St, Conway, AR  72032",35.0921325684,-92.4200057983
"305 Arkansas 365, Conway, AR  72032",35.0718002319,-92.3564224243
"990 Country Ln, Conway, AR  72034",35.0921861082,-92.4918164313
"6323 Rogers Ave, Fort Smith, AR  72903",35.3590545654,-94.3626556396
"9009 Highway 71 S, Fort Smith, AR  72908",35.298345387,-94.3889180571
"2017 Central Avenue, Hot Springs National Park, AR  71901",34.492401,-93.057777
"111 Central Ave, Hot Springs National Park, AR  71901",34.5182295889,-93.055331111
"2017 Central Ave, Hot Springs National Park, AR  71901",34.492401123,-93.0577774048
"4761 Central Avenue, Hot Springs National Park, AR  71913",34.4446372986,-93.0894393921
"4761 Central Ave, Hot Springs National Park, AR  71913",34.4446372986,-93.0894393921
"2905 Phillips Dr, Jonesboro, AR  72401",35.8090171814,-90.6696395874
"719 E Parker Rd, Jonesboro, AR  72404",35.80626297,-90.7017745972
"1220 Rebsamen Park Rd, Little Rock, AR  72202",34.7620162964,-92.3104705811
"3202 Bankhead Dr, Little Rock, AR  72206",34.7147778422,-92.2239341587
"8107 Geyer Springs Rd, Little Rock, AR  72209",34.6761512756,-92.343460083
"7800 Scott Hamilton Dr, Little Rock, AR  72209",34.678062439,-92.3200073242
"500 S Bowman Rd, Little Rock, AR  72211",34.7501296997,-92.407585144
"201 S Shackleford Rd, Little Rock, AR  72211",34.752456665,-92.3928909302
"20514 Hwy 365 N, North Little Rock, AR  72113",34.8845214844,-92.381729126
"2404 Main St, North Little Rock, AR  72114",34.777694419,-92.2667489201
"2505 Mccain Blvd, North Little Rock, AR  72116",34.7971015424,-92.2373452038
"2512 Hwy 161, North Little Rock, AR  72117",34.7771682739,-92.2007598877
"3085 E Parkway Dr, Russellville, AR  72802",35.28186,-93.095153
"2408 N Arkansas Ave, Russellville, AR  72802",35.3040196002,-93.1378278136
"116 Marshall Rd, Jacksonville, AR 72076",34.86876297,-92.1287155151
"2340 N Washington St, Forrest City, AR 72335",35.0323178619,-90.789675191
"1407 N Hervey St, Hope, AR 71801",33.6795249581,-93.6040024459
"3305 E Race Ave, Searcy, AR 72143",35.249961853,-91.692565918
"1215 Hot Springs Hwy, Benton, AR 72019",34.5747184753,-92.5898590088
"2309 S Service Rd, West Memphis, AR 72301",35.1585332304,-90.2235158533
"1410 E Harding St, Morrilton, AR 72110",35.1637112349,-92.7286601812
"2200 W Center St, Beebe, AR 72012",35.0689762831,-91.9103577733
"2309 E. Service Rd., Crawfordsville, AR 72327",35.1570365578,-90.1557417959
"1407 N Main St, Brinkley, AR 72021",34.9052274227,-91.1982648075
"1238 S Rogers St, Clarksville, AR 72830",35.4536590576,-93.4666366577
"1705 Fayetteville Rd, Van Buren, AR 72956",35.4604568481,-94.3569335938
"2308 Se Walton Blvd, Bentonville, AR 72712",36.3347473145,-94.185836792
"105 Commerce St, Bryant, AR 72022",34.6208421886,-92.4979848415
"1281 S 48th St, Springdale, AR 72762",36.174621582,-94.1831741333
"1921 Highway 270, Malvern, AR 72104",34.449897632,-92.893717289
"6501 Warden Rd, Sherwood, AR 72120",34.8149795532,-92.2036361694
"2311 W 6th St, Fayetteville, AR 72701",36.0541877747,-94.192024231
"1423 S Country Club Dr, Mesa, AZ  85210",33.3886070251,-111.839508057
"1831 S Country Club Dr, Mesa, AZ  85210",33.3816604614,-111.839630127
"5055 E Mckellips Rd, Mesa, AZ  85215",33.4514045715,-111.721061707
"2516 W Bell Rd, Phoenix, AZ  85023",33.640625,-112.112869
"2627 W Deer Valley Rd, Phoenix, AZ  85027",33.6834907532,-112.11618042
"3363 E University Dr, Phoenix, AZ  85034",33.4156303406,-112.008049011
"228 S 24th St, Phoenix, AZ  85034",33.4450035095,-112.030738831
"5030 W Mcdowell Rd, Phoenix, AZ  85035",33.4667625427,-112.167617798
"1237 N 59th Ave, Phoenix, AZ  85043",33.4619216919,-112.185806274
"4824 E Chandler Blvd, Phoenix, AZ  85048",33.305793,-111.979072
"2189 E University Dr, Tempe, AZ  85281",33.4216461182,-111.892333984
"1801 W Baseline Rd, Tempe, AZ  85283",33.3781170845,-111.966471076
"2701 E Valencia Rd, Tucson, AZ  85706",32.1345024109,-110.932098389
"709 W Starr Pass Blvd, Tucson, AZ  85713",32.2063941956,-110.980857849
"3565 E Irvington Rd, Tucson, AZ  85714",32.1636695862,-110.916313171
"4601 W Ina Rd, Tucson, AZ  85741",32.3372116089,-111.063308716
"1380 W Grant Rd, Tucson, AZ  85745",32.250785,-110.994834
"101 E 29th Ave, Apache Junction, AZ 85219",33.38829422,-111.545166016
"8325 W Mcdowell Rd, Tolleson, AZ 85353",33.4652687609,-112.238559723
"820 N Dysart Rd, Goodyear, AZ 85338",33.4553947449,-112.341598511
"N Toltec Rd, Eloy, AZ 85131",32.7700881958,-111.619499207
"W Civic Center Dr, Santa Ana, CA 92701",33.751548,-117.873054
"1750 Camino Del Rio N, San Diego, CA 92108",32.7683128417,-117.145131379
"14107 E Colfax Ave, Aurora, CO  80011",39.7406806946,-104.823104858
"12880 E Mississippi Ave, Aurora, CO  80012",39.6960525513,-104.838821411
"395 S 8th St, Colorado Springs, CO  80905",38.8292007446,-104.840209961
"755 W Fillmore St, Colorado Springs, CO  80907",38.8763391227,-104.836856425
"1039 Space Center Dr, Colorado Springs, CO  80915",38.8468933105,-104.721702576
"4180 Austin Bluffs Pkwy, Colorado Springs, CO  80918",38.8919143677,-104.754493713
"616 S College Ave, Fort Collins, CO  80524",40.5793380737,-105.076560974
"3850 E Mulberry St, Fort Collins, CO  80524",40.5820350647,-105.004615784
"3805 Peoria St, Denver, CO 80239-3313",39.7698287964,-104.847496033
"1421 E Eisenhower Blvd, Loveland, CO 80537-3927",40.4078025818,-105.055908203
"8401 Pearl St, Thornton, CO 80229-4804",39.849418,-104.979644
"19312 E Plaza Dr, Parker, CO 80138-9066",39.52647,-104.765457
"201 E County Line Rd, Littleton, CO 80122-8100",39.5664138794,-104.985618591
"222 Wolfensberger Rd, Castle Rock, CO 80109",39.3798599243,-104.864906311
"3811 Hwy 119, Longmont, CO 80504-9543",40.1607001573,-104.986033514
"598 W Main St, Middletown, DE 19709",39.4493126124,-75.7270257175
"37 S Cory Ln, Smyrna, DE 19977-2890",39.2851292342,-75.5931519717
"4003 N Dupont Hwy, Dover, DE 19901",39.2066283524,-75.5652690679
"985 S State Road 434, Altamonte Springs, FL  32714",28.6440496892,-81.4151716232
"278 Douglas Ave, Altamonte Springs, FL  32714",28.6651668549,-81.3907394409
"1412 W Brandon Blvd, Brandon, FL  33511",27.9383125305,-82.3049697876
"1902 W Lumsden Rd, Brandon, FL  33511",27.9239711761,-82.3150177002
"521 S Gulfview Blvd, Clearwater Beach, FL  33767",27.9677143097,-82.8284072876
"521 South Gulfview Boulevard, Clearwater Beach, FL  33767",27.9677143097,-82.8284072876
"298 W James Lee Blvd, Crestview, FL  32536",30.7624127716,-86.5761722624
"3804 S Ferdon Blvd, Crestview, FL  32536",30.722296983,-86.5692461282
"209 Harbor Blvd, Destin, FL  32541",30.3947906494,-86.5070953369
"154 Regions Way, Destin, FL  32541",30.3889713287,-86.4195327759
"1067 Highway 98 E, Destin, FL  32541",30.3867321014,-86.4682617188
"4840 Powerline Rd, Fort Lauderdale, FL  33309",26.1868667603,-80.1547317505
"2580 Davie Road, Fort Lauderdale, FL  33314",26.0590705872,-80.2319107056
"2580 Davie Rd, Fort Lauderdale, FL  33317",26.0901145935,-80.2271957397
"4689 Volunteer Rd, Fort Lauderdale, FL  33330",26.0614242554,-80.3465270996
"4689 Volunteer Road, Fort Lauderdale, FL  33331",26.0614242554,-80.3465270996
"2940 Cleveland Ave, Fort Myers, FL  33901",26.6236171722,-81.8726348877
"4050 Boatways Rd, Fort Myers, FL  33905",26.6847782135,-81.7964859009
"9420 Daniels Pkwy, Fort Myers, FL  33912",26.546607,-81.799438
"7147 Okeechobee Rd, Fort Pierce, FL  34945",27.4122695923,-80.3967514038
"5872 Okeechobee Rd, Fort Pierce, FL  34947",27.4178562164,-80.3841400146
"460 Racetrack Rd Nw, Fort Walton Beach, FL  32547",30.4496604949,-86.6374989599
"318 Miracle Strip Pkwy Sw, Fort Walton Beach, FL  32548",30.406460166,-86.6329164058
"1251 Miracle Strip Pkwy Se, Fort Walton Beach, FL  32548",30.3971649706,-86.5968614817
"263 Miracle Strip Pkwy Se, Fort Walton Beach, FL  32548",30.4033467919,-86.6034248471
"7611 W Newberry Rd, Gainesville, FL  32606",29.6593036652,-82.4238891602
"2120 SW 13th St, Gainesville, FL  32608",29.631811142,-82.33984375
"3919 SW 40th Blvd, Gainesville, FL  32608",29.6180534363,-82.3828582764
"2205 SW 13th St, Gainesville, FL  32608",29.63137,-82.338973
"831 Gulf Breeze Pky, Gulf Breeze, FL  32561",30.3572235107,-87.1639633179
"3340 Gulf Breeze Pky, Gulf Breeze, FL  32563",30.3878326416,-87.0842971802
"8582 Navarre Parkway, Gulf Breeze, FL  32566",30.3524303436,-87.188117981
"Us Hwy. 301 Bald And I-10, Jacksonville, FL  32201",30.3296089172,-81.6611480713
"4271 Roosevelt Blvd, Jacksonville, FL  32210",30.2860336304,-81.7198562622
"5067 J Turner Butler Blvd, Jacksonville, FL  32216",30.2456436157,-81.5990066528
"5208 University Blvd W, Jacksonville, FL  32216",30.2680015564,-81.6140670776
"14680 Duval Rd, Jacksonville, FL  32218",30.4809806496,-81.6478505731
"580 Busch Dr, Jacksonville, FL  32218",30.4299093783,-81.654291898
"1066 Us Highway 301 S, Jacksonville, FL  32234",30.2832374573,-81.9842300415
"6796 Commonwealth Ave, Jacksonville, FL  32254",30.3356250376,-81.7595109344
"8243 Western Way, Jacksonville, FL  32256",30.21969,-81.566871
"10140 Philips Hwy, Jacksonville, FL  32256",30.1826324463,-81.5569000244
"1512 N John Young Pkwy, Kissimmee, FL  34741",28.3055686951,-81.4167480469
"1215 W Vine St, Kissimmee, FL  34741",28.3046147972,-81.4163471013
"2037 E Irlo Bronson Memorial Hwy, Kissimmee, FL  34744",28.291469574,-81.3613510132
"4690 Seven Dwarfs Ln, Kissimmee, FL  34746",28.32570903,-81.470162943
"5391 W Irlo Bronson Memorial Hwy, Kissimmee, FL  34746",28.3334522247,-81.4990234375
"5987 W Irlo Bronson Memorial Hwy, Kissimmee, FL  34747",28.3333778381,-81.5231552124
"7696 West Irlo Bronson Memorial Highway, Kissimmee, FL  34747",28.3378332853,-81.5944538265
"5991 West Irlo Bronson Memorial Highway, Kissimmee, FL  34747",28.3333683014,-81.5240478516
"7696 W Irlo Bronson Memorial Hwy, Kissimmee, FL  34747",28.3378332853,-81.5944538265
"3639 W Us Highway 90, Lake City, FL  32055",30.1799373627,-82.6920547485
"212 N Marion Ave, Lake City, FL  32055",30.1910110563,-82.6372135431
"812 E Memorial Blvd, Lakeland, FL  33801",28.055398941,-81.94871521
"3244 Us-98 N, Lakeland, FL  33805",28.0833244324,-81.9694366455
"4210 Lakeland Hills Blvd, Lakeland, FL  33805",28.096446991,-81.9520263672
"4201 Lafayette St, Marianna, FL  32446",30.7814712524,-85.2458496094
"2215 Highway 71, Marianna, FL  32448",30.7259368896,-85.1860275269
"2380 East Brickyard Road, Midway, FL  32343",30.4849624634,-84.4230575562
"2000 E Brick Yard Rd, Midway, FL  32343",30.4869391769,-84.4289050251
"5173 Stewart St, Milton, FL  32570",30.622800827,-87.0437393188
"6558 Caroline St, Milton, FL  32570",30.6199035645,-87.0497970581
"4900 Highway 90, Milton, FL  32571",30.6039562225,-87.1198196411
"4219 Woodbine Road, Milton, FL  32571",30.59116745,-87.176574707
"4219 Woodbine Rd, Milton, FL  32571",30.59116745,-87.176574707
"8555 Keshav Taylor Dr, Milton, FL  32583",30.6211071014,-86.9649734497
"2662 Avalon Blvd, Milton, FL  32583",30.5314725637,-87.0871176571
"10579 Us-98 W, Miramar Beach, FL  32550",30.3780569136,-86.351711601
"130 Scenic Gulf Drive, Miramar Beach, FL  32550",30.3767566681,-86.3507003784
"6531 Dudley Dr, Naples, FL  34105",26.2109146118,-81.740486145
"3824 Tollhouse Dr, Naples, FL  34114",26.1556349695,-81.6849052906
"628 W John Sims Pky, Niceville, FL  32578",30.5214157104,-86.5022964478
"4575 E Highway 20, Niceville, FL  32578",30.4823246002,-86.4158325195
"2065 SW Highway 484, Ocala, FL  34473",29.0265483856,-82.1595458984
"3871 SW College Rd, Ocala, FL  34474",29.1482372284,-82.1880722046
"3921 W Silver Springs Blvd, Ocala, FL  34482",29.186788559,-82.1871337891
"3816 NW Blitchton Rd, Ocala, FL  34482",29.20659,-82.186859
"151 Park Ave, Orange Park, FL  32073",30.1882362366,-81.7022857666
"165 Park Avenue, Orange Park, FL  32073",30.188079834,-81.7019424438
"1307 S Orange Blossom Trl, Orlando, FL  32805",28.5263000429,-81.397010386
"8903 S Orange Blossom Trl, Orlando, FL  32809",28.4367351532,-81.4038009644
"1736 Mccoy Rd, Orlando, FL  32809",28.4505805969,-81.3570556641
"11749 E Colonial Dr, Orlando, FL  32817",28.5675792694,-81.2087631226
"2801 N Apopka Vineland Rd, Orlando, FL  32818",28.5761274397,-81.4909467101
"6990 W Colonial Dr, Orlando, FL  32818",28.5515975952,-81.4752655029
"5350 S Kirkman Rd, Orlando, FL  32819",28.4846591949,-81.4594802856
"12801 Apopka-vineland, Orlando, FL  32836",28.3793735504,-81.5042266846
"12805 County Road 535, Orlando, FL  32836",28.4066905975,-81.5328598022
"13073 S Orange Blossom Trl, Orlando, FL  32837",28.3760948181,-81.4039154053
"1566 W Granada Blvd, Ormond Beach, FL  32174",29.2572268099,-81.114654243
"1570 N US Highway 1, Ormond Beach, FL  32174",29.3344516754,-81.1301269531
"626 S Atlantic Ave, Ormond Beach, FL  32176",29.2761960626,-81.0322152078
"631 W 15th St, Panama City, FL  32401",30.1747493744,-85.6671600342
"306 N Tyndall Pkwy, Panama City, FL  32404",30.153234154,-85.5910069495
"7000 Thomas Dr, Panama City, FL  32408",30.1570663452,-85.7724914551
"10327 Front Beach Rd, Panama City Beach, FL  32407",30.1779051125,-85.8054669946
"11128 Front Beach Rd, Panama City Beach, FL  32407",30.1834621429,-85.8161773682
"17110 Panama City Beach Pkwy, Panama City Beach, FL  32413",30.231084,-85.888175
"401 E Gregory St, Pensacola, FL  32502",30.4169464111,-87.2052993774
"7329 N Davis Hwy, Pensacola, FL  32504",30.5022201538,-87.2223205566
"6305 N 9th Ave, Pensacola, FL  32504",30.4885902405,-87.197303772
"6913 Pensacola Blvd, Pensacola, FL  32505",30.4929885864,-87.2622299194
"9201 W Highway 98, Pensacola, FL  32506",30.402721405,-87.3400268555
"4631 Mobile Hwy, Pensacola, FL  32506",30.4372367859,-87.2798919678
"105 S New Warrington Rd, Pensacola, FL  32507",30.4056224823,-87.2773971558
"17352 Perdido Key Dr, Pensacola, FL  32507",30.2822551727,-87.5173339844
"10457 Sorrento Rd, Pensacola, FL  32507",30.3585739136,-87.3625411987
"1907 E Nine Mile Rd, Pensacola, FL  32514",30.5315113068,-87.2195281982
"7817 N Davis Hwy, Pensacola, FL  32514",30.5065689087,-87.2223129272
"3399 W Michigan Ave, Pensacola, FL  32526",30.4605903625,-87.3001251221
"8010 Lavelle Way, Pensacola, FL  32526",30.5204238892,-87.3142623901
"7999 Pensacola Blvd, Pensacola, FL  32534",30.5112018585,-87.2709274292
"7 E Nine Mile Rd, Pensacola, FL  32534",30.5326385498,-87.2722244263
"810 Kings Highway, Port Charlotte, FL  33980",27.0172691345,-82.0500717163
"810 Kings Hwy, Port Charlotte, FL  33980",27.0172691345,-82.0500717163
"5737 Clark Rd, Sarasota, FL  34233",27.2698307037,-82.4553985596
"1414 S Tamiami Trl, Sarasota, FL  34239",27.3208580017,-82.5299911499
"10070 Us Highway 1 S, St Augustine, FL  32086",29.6599502563,-81.2867279053
"9990 Koa Rd, St Augustine, FL  32095",30.0072975159,-81.4076385498
"7070 Gulf Boulevard, St Petersburg, FL  33706",27.7390842438,-82.7498779297
"11185 Gulf Blvd, St Petersburg, FL  33706",27.7720092237,-82.7720106393
"7070 Gulf Blvd, St Petersburg, FL  33706",27.7390842438,-82.7498779297
"2525 54th Ave N, St Petersburg, FL  33714",27.8214530945,-82.6672439575
"2525 54th Ave N, St Petersburg, FL  33714",27.8214530945,-82.6672439575
"1670 Capital Cir Nw, Tallahassee, FL  32303",30.4732093811,-84.3635177612
"3210 N Monroe St, Tallahassee, FL  32303",30.4857673645,-84.3154525757
"1939 W Tennessee St, Tallahassee, FL  32304",30.448884666,-84.3157037348
"777 Capital Cir Sw, Tallahassee, FL  32305",30.3974704742,-84.3268737793
